Title;Author;Genre;SubGenre;Height;Publisher;Location_in_library;Availability;publication_year
Fundamentals of Wavelets;Goswami, Jaideva;tech;signal_processing;228;Wiley;F1S3SH2;unavailable;1992
Data Smart;Foreman, John;tech;data_science;235;Wiley;F2S1SH4;available;2013
God Created the Integers;Hawking, Stephen;tech;mathematics;197;Penguin;F3S2SH1;available;2005
Superfreakonomics;Dubner, Stephen;science;economics;179;HarperCollins;F1S4SH3;available;2009
Orientalism;Said, Edward;nonfiction;history;197;Penguin;F4S3SH2;unavailable;1978
Nature of Statistical Learning Theory, The;Vapnik, Vladimir;tech;data_science;230;Springer;F3S1SH2;available;1995
Integration of the Indian States;Menon, V P;nonfiction;history;217;Orient Blackswan;F2S2SH1;available;2005
Drunkard's Walk, The;Mlodinow, Leonard;science;mathematics;197;Penguin;F4S1SH1;available;2008
Image Processing & Mathematical Morphology;Shih, Frank;tech;signal_processing;241;CRC;F1S2SH3;available;1983
How to Think Like Sherlock Holmes;Konnikova, Maria;nonfiction;psychology;240;Penguin;F3S4SH1;available;2013
Data Scientists at Work;Sebastian Gutierrez;tech;data_science;230;Apress;F2S3SH2;available;2011
Slaughterhouse Five;Vonnegut, Kurt;fiction;classic;198;Random House;F1S1SH3;available;1969
Birth of a Theorem;Villani, Cedric;science;mathematics;234;Bodley Head;F3S1SH3;unavailable;2015
Structure & Interpretation of Computer Programs;Sussman, Gerald;tech;computer_science;240;MIT Press;F2S2SH3;available;1984
Age of Wrath, The;Eraly, Abraham;nonfiction;history;238;Penguin;F4S2SH3;available;2008
Trial, The;Kafka, Frank;fiction;classic;198;Random House;F1S4SH1;available;1965
Statistical Decision Theory;Pratt, John;tech;data_science;236;MIT Press;F2S1SH2;available;1986
Data Mining Handbook;Nisbet, Robert;tech;data_science;242;Apress;F3S2SH2;available;2011
New Machiavelli, The;Wells, H. G.;fiction;novel;180;Penguin;F1S3SH3;available;1911
Physics & Philosophy;Heisenberg, Werner;philosophy;science;197;Penguin;F3S4SH2;available;1958
Making Software;Oram, Andy;tech;computer_science;232;O'Reilly;F2S2SH2;available;2010
Analysis, Vol I;Tao, Terence;tech;mathematics;248;HBA;F4S3SH1;available;1974
Machine Learning for Hackers;Conway, Drew;tech;data_science;233;O'Reilly;F3S1SH1;available;2012
Signal and the Noise, The;Silver, Nate;tech;data_science;233;Penguin;F2S3SH3;available;2012
Python for Data Analysis;McKinney, Wes;tech;data_science;233;O'Reilly;F1S1SH2;available;2012
Introduction to Algorithms;Cormen, Thomas;tech;computer_science;234;MIT Press;F3S2SH1;available;1990
Beautiful and the Damned, The;Deb, Siddhartha;nonfiction;history;198;Penguin;F4S2SH1;available;1922
Outsider, The;Camus, Albert;fiction;classic;198;Penguin;F1S3SH1;available;1956
Complete Sherlock Holmes, The - Vol I;Doyle, Arthur Conan;fiction;classic;176;Random House;F2S1SH1;available;1927
Complete Sherlock Holmes, The - Vol II;Doyle, Arthur Conan;fiction;classic;176;Random House;F2S2SH1;available;1927
Wealth of Nations, The;Smith, Adam;science;economics;175;Random House;F3S4SH3;available;1776
Pillars of the Earth, The;Follett, Ken;fiction;novel;176;Random House;F4S1SH2;available;1989
Mein Kampf;Hitler, Adolf;nonfiction;autobiography;212;Rupa;F1S4SH2;available;1925
Tao of Physics, The;Capra, Fritjof;science;physics;179;Penguin;F2S4SH1;available;1975
Surely You're Joking Mr Feynman;Feynman, Richard;science;physics;198;Random House;F3S3SH1;available;1985
Farewell to Arms, A;Hemingway, Ernest;fiction;classic;179;Rupa;F4S4SH1;available;1929
Veteran, The;Forsyth, Frederick;fiction;novel;177;Transworld;F1S2SH1;available;2004
False Impressions;Archer, Jeffery;fiction;novel;177;Pan;F2S1SH4;available;2005
Last Lecture, The;Pausch, Randy;nonfiction;autobiography;197;Hyperion;F3S3SH2;available;2008
Return of the Primitive;Rand, Ayn;philosophy;objectivism;202;Penguin;F4S2SH2;available;1999
Jurassic Park;Crichton, Michael;fiction;novel;174;Random House;F1S1SH1;available;1990
Russian Journal, A;Steinbeck, John;nonfiction;history;196;Penguin;F2S3SH1;available;1948
Tales of Mystery and Imagination;Poe, Edgar Allen;fiction;classic;172;HarperCollins;F3S4SH1;available;1845
Freakonomics;Dubner, Stephen;science;economics;197;Penguin;F4S4SH2;available;2005
Hidden Connections, The;Capra, Fritjof;science;physics;197;HarperCollins;F1S3SH2;available;2002
Story of Philosophy, The;Durant, Will;philosophy;history;170;Pocket;F2S2SH4;available;1926
Asami Asami;Deshpande, P L;fiction;novel;205;Mauj;F3S2SH3;available;1949
Journal of a Novel;Steinbeck, John;fiction;classic;196;Penguin;F4S1SH1;available;1951
Once There Was a War;Steinbeck, John;nonfiction;history;196;Penguin;F1S4SH1;available;1958
Moon is Down, The;Steinbeck, John;fiction;classic;196;Penguin;F2S1SH2;available;1942
Brethren, The;Grisham, John;fiction;novel;174;Random House;F3S1SH3;available;2006
In a Free State;Naipaul, V. S.;fiction;novel;196;Rupa;F4S2SH3;available;1971
Catch 22;Heller, Joseph;fiction;classic;178;Random House;F1S2SH3;available;1961
Complete Mastermind, The;BBC;nonfiction;trivia;178;BBC;F2S3SH4;unavailable;1989
Dylan on Dylan;Dylan, Bob;nonfiction;autobiography;197;Random House;F3S4SH3;available;2006
Soft Computing & Intelligent Systems;Gupta, Madan;tech;data_science;242;Elsevier;F4S3SH1;unavailable;2000
Textbook of Economic Theory;Stonier, Alfred;tech;economics;242;Pearson;F1S3SH3;available;1909
